id,name,latitude,longitude,city
1,Railway_station,53.8919235774,27.5495325449,Minsk
2,Kirova,53.8932602686,27.5519371772,Minsk
3,Lenina,53.900253855,27.5579054699,Minsk
4,Zamchishche,53.9078528845,27.550607687,Minsk
5,Gvardeyskaya,53.9160771448,27.5351859915,Minsk
6,Centra_tennisa,53.9241763319,27.523818628,Minsk
7,Kruptsy,53.9335172819,27.5029495819,Minsk
8,"Minsk Arena",53.9372778601,27.4824905873,Minsk
9,DS_Vesnyanka,53.9320779442,27.4798434988,Minsk
10,Vesninka,53.941095331,27.4688615202,Minsk
11,Aquapark,53.9496143375,27.4497281796,Minsk
12,Center_Leader,53.9513016294,27.4391311989,Minsk
13,Station_Zhdanovichi,53.9481541877,27.4265266316,Minsk
14,Station_Minske_Sea,53.9487066947,27.3759619643,Minsk
15,Vokzal_Minsk,53.9467653395,27.3479458331,Minsk
16,Vokzal_Zaslavl,53.9521176409,27.3299226694,Zaslavl
18,Yuny_Comunar,53.9689255986,27.315594081,Zaslavl
19,Zelenoe,53.9803314896,27.3090273033,Zaslavl
20,Velikoye,53.9944012498,27.2995024993,Zaslavl
21,Hospital,53.9992681554,27.2952186431,Zaslavl
22,Shkola_№1,54.0047726054,27.2925819453,Zaslavl
23,Dehnovka,54.0064949512,27.3022580074,Zaslavl
24,ST_Ptitsevod,54.0183036134,27.3128529263,Zaslavl
25,Vokzalnaya,54.0070335245,27.2827117577,Zaslavl
26,Supermarket,54.0111324745,27.2693444715,Zaslavl
27,Shkola_№2,54.0123414649,27.2647273076,Zaslavl
28,Kirshi,54.0092578987,27.2423513375,Zaslavl
29,d_Modern,53.9911545615,27.2726886688,Zaslavl
30,Dzerzhinskaya,53.9938946762,27.2691935845,Zaslavl
31,Masonry,53.9959570464,27.2735511069,Zaslavl
32,Puteyko,54.0012938966,27.2798294877,Zaslavl
33,Drugstore_sklady,54.0181009015,27.2526004941,Zaslavl
34,Khmelevka,54.023637533,27.2571376701,Zaslavl
35,Zagorodye,54.0066114053,27.3305532278,Zaslavl
36,Vokzal_Zaslavl_2,54.0087610408,27.3941408286,Zaslavl
37,Vokzal_Minsk_2,54.008645126,27.4237323157,Minsk
38,d_Primorie,53.9906213852,27.4823164492,Minsk
39,d_Yakubovichi,53.9757660021,27.5369042116,Minsk
40,Irinovskaya,53.9633048435,27.5377526048,Minsk
41,Shchedrin,53.9357171305,27.545834273,Minsk
18,Square_Myasnikov,53.89285355930397,27.542671456630803,Minsk
